   No           lonR           latR             dR        D0    strike       dip      rake   strike2      dip2     rake2         x         y flag
    1     142.080048      42.555939      37.000000     0.123   352.929    80.597  -173.179   261.810    83.271    -9.469    -15.00     -6.00    1
    2     142.080093      42.582951      37.000000     0.184    89.442    71.245   -11.868   183.308    78.771  -160.865    -12.00     -6.00    1
    3     142.080124      42.609959      37.000000     0.239    89.824    71.242    -8.175   182.469    82.262  -161.063     -9.00     -6.00    1
    4     142.080154      42.636959      37.000000     0.285    95.931    49.386     7.412     1.090    84.380   139.148     -6.00     -6.00    1
    5     142.080185      42.663971      37.000000     0.317   106.511    41.923    29.683   353.529    70.679   127.959     -3.00     -6.00    1
    6     142.080215      42.690979      37.000000     0.303   110.421    48.349    47.554   344.417    56.539   127.191      0.00     -6.00    1
    7     142.080246      42.717979      37.000000     0.290   106.904    56.635    68.948   321.891    38.790   118.613      3.00     -6.00    1
    8     142.080276      42.744991      37.000000     0.289   102.942    56.039    88.237   286.095    34.001    92.615      6.00     -6.00    1
    9     142.080307      42.771999      37.000000     0.281    94.476    48.525   100.674   258.590    42.585    78.166      9.00     -6.00    1
   10     142.080338      42.799000      37.000000     0.219    94.855    46.204   104.322   254.607    45.623    75.534     12.00     -6.00    1
   11     142.080368      42.826012      37.000000     0.117    90.695    49.658   112.859   237.621    45.386    65.422     15.00     -6.00    1
   12     142.043518      42.555962      37.000000     0.192   356.649    78.692  -179.365   266.525    89.377   -11.308    -15.00     -3.00    1
   13     142.043533      42.582970      37.000000     0.317    91.833    71.518    -8.820   184.649    81.638  -161.312    -12.00     -3.00    1
   14     142.043564      42.609982      37.000000     0.434    94.720    59.194    -8.588   189.143    82.631  -148.909     -9.00     -3.00    1
   15     142.043564      42.636978      37.000000     0.511    97.480    47.148     6.940     2.747    84.918   136.938     -6.00     -3.00    1
   16     142.043594      42.663990      37.000000     0.566   105.514    39.140    24.672   355.905    74.723   126.484     -3.00     -3.00    1
   17     142.043610      42.690990      37.000000     0.544   113.422    39.607    41.980   348.692    64.760   121.597      0.00     -3.00    1
   18     142.043625      42.717999      37.000000     0.494   113.673    47.028    59.485   334.522    50.924   118.592      3.00     -3.00    1
   19     142.043640      42.745010      37.000000     0.459   102.939    53.494    78.519   301.789    38.028   105.052      6.00     -3.00    1
